6.4         -1.8          3.2         -0.9         -4.8         -4.1         13.5         11.8         -2.5         14.7         -9.5         -0.3         -3.1          6.4         1.96         -2.8        -2.56        -2.94         -4.7        -0.82         1.61         4.15         0.77        -2.65      3.12983
 8.66        -4.65         4.36         1.47        -4.68        -6.47        13.67        14.93        -1.23        12.47        -6.54         0.24        -0.48         4.49         1.83         -2.8         -2.7        -3.02        -4.33        -0.94         2.36         6.01         2.45        -1.72      3.10091
 9.95        -7.48         5.35         1.41        -1.75        -8.43         13.6        12.02        -4.24        13.82        -8.18         0.48         0.49         6.34         1.82        -2.83        -2.78        -3.06        -4.34        -0.84         0.78          2.8         0.37        -2.03      3.11927
 10.01        -9.26         8.15        -1.05        -0.85        -8.84        10.83        11.83        -5.56        14.58       -10.63         2.96         1.17         8.69         1.83        -3.02           -3        -3.23        -3.86        -0.89         0.11         0.74        -0.96        -2.14      3.13154
 11.25       -11.05         8.19        -2.61         1.61       -10.75        10.23         9.23        -8.65        12.55       -10.72          4.6         2.91        11.28         1.73        -2.86         -2.3        -2.29        -3.65        -1.03        -2.34         -4.5        -3.56        -1.81      3.13563
 11.94       -11.81        10.85        -3.17         4.66       -11.95         9.42         7.53        -8.77         9.06       -13.23         7.93         6.34        12.42         1.83        -3.17        -3.43         -3.5        -3.81        -1.02        -3.55        -7.34        -5.41        -1.97      3.12515
 13.47       -12.63         13.2        -3.92         5.13       -14.08         6.29         5.05           -9         6.57       -14.96         9.34         8.29        14.03         1.87        -3.48        -3.97        -3.82        -2.79        -1.07        -4.66        -9.24         -6.8        -2.05      3.12676
 13.32       -12.83         14.3        -4.57         5.66       -14.16         6.24         2.72       -12.24         3.99       -14.01        12.56         9.57        14.78         1.85        -3.57         -4.1        -3.84        -2.79        -1.09        -6.67       -11.16        -8.39        -2.21      3.12147
 11.42       -13.36           14        -6.34         8.74       -12.44         4.42        -0.59       -12.37         1.28       -11.01        14.78        10.94        14.86          1.9        -3.32        -3.89        -3.95         -3.4        -1.17        -7.78       -11.67        -8.72        -1.69       3.1214
 8.48        -12.1        13.82        -3.28          8.9       -10.68         3.08         0.24       -10.86        -1.69        -9.17        11.29         9.72        11.86         1.84        -3.31        -4.96        -5.15        -3.84        -1.09        -7.55       -11.52         -8.5           -2      3.12389
 8.04        -8.62        12.61        -1.03        11.45        -9.76          1.4         0.82       -10.72         -2.7        -7.82        10.44         7.16        11.64         1.93        -3.49        -5.55        -5.93        -4.16        -1.03        -7.49       -11.43        -8.42        -2.19      3.11486
 7.85        -8.23        12.21         1.09        13.59        -9.26        -1.53          3.4       -10.58        -5.65        -6.06         9.67         6.81        11.53         1.84        -3.47        -5.93        -6.35         -4.2        -1.09        -7.47       -11.32        -8.19        -1.89      3.11058
 6.03        -7.77         8.93         3.35        14.94        -6.78         -4.5         5.06        -8.21        -9.05        -5.31         8.94         3.89         8.59         1.94        -3.08        -5.93        -6.65        -4.63        -0.99        -6.95        -10.9        -7.93        -2.78      3.08993
 4.44        -7.01         7.22         4.06         13.1        -3.28        -6.14         7.06        -5.14       -11.14        -2.29          8.4         3.74         5.66         1.94        -2.89        -5.62        -6.48        -4.96        -0.99        -5.71        -9.27        -6.33        -2.43      3.10107
 2.21        -3.53         5.64         4.21        11.37        -2.26        -6.37          7.3        -3.79       -14.01        -1.09         8.05         0.98         3.95            2        -2.88        -5.91        -6.84        -4.94        -0.85        -5.53        -9.01         -6.3        -3.12      3.11007
 -0.8        -1.88         3.02         4.64         9.39         0.35        -8.45        10.63        -0.46       -12.58         1.69         7.76          0.5         2.65         2.01        -2.55        -5.61         -6.8        -5.08        -0.83        -3.16        -4.59        -3.22        -2.31      3.12207
