  6.4  -1.8   3.2  -0.9  -4.8  -4.1  13.5  11.8  -2.5  14.7  -9.5  -0.3  -3.1   6.4  1.96 -2.8  -2.56 -2.94 -4.7   -0.82  1.61  4.15  0.77 -2.65  3.12983393669
  8.66  -4.65   4.36   1.47  -4.68  -6.47  13.67  14.93  -1.23  12.47  -6.54   0.24  -0.48   4.49  1.83 -2.8  -2.7  -3.02 -4.33  -0.94  2.36  6.01  2.45 -1.72  3.10091137886
  9.95  -7.48   5.35   1.41  -1.75  -8.43  13.6   12.02  -4.24  13.82  -8.18   0.48   0.49   6.34  1.82 -2.83 -2.78 -3.06 -4.34  -0.84  0.78  2.8   0.37 -2.03  3.11927080154
 10.01  -9.26   8.15  -1.05  -0.85  -8.84  10.83  11.83  -5.56  14.58 -10.63   2.96   1.17   8.69  1.83 -3.02 -3.   -3.23 -3.86  -0.89  0.11  0.74 -0.96 -2.14  3.13154292107
 11.25 -11.05   8.19  -2.61   1.61 -10.75  10.23   9.23  -8.65  12.55 -10.72   4.6    2.91  11.28  1.73 -2.86 -2.3  -2.29 -3.65  -1.03 -2.34 -4.5  -3.56 -1.81  3.13562822342
 11.94 -11.81  10.85  -3.17   4.66 -11.95   9.42   7.53  -8.77   9.06 -13.23   7.93   6.34  12.42  1.83 -3.17 -3.43 -3.5  -3.81  -1.02 -3.55 -7.34 -5.41 -1.97  3.12514638901
 13.47 -12.63  13.2   -3.92   5.13 -14.08   6.29   5.05  -9.     6.57 -14.96   9.34   8.29  14.03  1.87 -3.48 -3.97 -3.82 -2.79  -1.07 -4.66 -9.24 -6.8  -2.05  3.12675786018
 13.32 -12.83  14.3   -4.57   5.66 -14.16   6.24   2.72 -12.24   3.99 -14.01  12.56   9.57  14.78  1.85 -3.57 -4.1  -3.84 -2.79   -1.09  -6.67 -11.16  -8.39  -2.21  3.12146806717
 11.42 -13.36  14.    -6.34   8.74 -12.44   4.42  -0.59 -12.37   1.28 -11.01  14.78  10.94  14.86  1.9  -3.32 -3.89 -3.95 -3.4    -1.17  -7.78 -11.67  -8.72  -1.69  3.1214029789
  8.48 -12.1   13.82  -3.28   8.9  -10.68   3.08   0.24 -10.86  -1.69  -9.17  11.29   9.72  11.86  1.84 -3.31 -4.96 -5.15 -3.84   -1.09  -7.55 -11.52  -8.5   -2.    3.12389326096
  8.04  -8.62  12.61  -1.03  11.45  -9.76   1.4    0.82 -10.72  -2.7  -7.82  10.44   7.16  11.64  1.93 -3.49 -5.55 -5.93 -4.16   -1.03  -7.49 -11.43  -8.42  -2.19  3.11486005783
  7.85  -8.23  12.21   1.09  13.59  -9.26  -1.53   3.4  -10.58  -5.65  -6.06   9.67   6.81  11.53  1.84 -3.47 -5.93 -6.35 -4.2    -1.09  -7.47 -11.32  -8.19  -1.89  3.11057949066
  6.03  -7.77   8.93   3.35  14.94  -6.78  -4.5    5.06  -8.21  -9.05  -5.31   8.94   3.89   8.59  1.94 -3.08 -5.93 -6.65 -4.63   -0.99  -6.95 -10.9   -7.93  -2.78  3.08992505074
  4.44  -7.01   7.22   4.06  13.1   -3.28  -6.14   7.06  -5.14 -11.14  -2.29   8.4    3.74   5.66  1.94 -2.89 -5.62 -6.48 -4.96  -0.99 -5.71 -9.27 -6.33 -2.43  3.10107421875
  2.21  -3.53   5.64   4.21  11.37  -2.26  -6.37   7.3   -3.79 -14.01  -1.09   8.05   0.98   3.95  2.   -2.88 -5.91 -6.84 -4.94  -0.85 -5.53 -9.01 -6.3  -3.12  3.11007499695
 -0.8   -1.88   3.02   4.64   9.39   0.35  -8.45  10.63  -0.46 -12.58   1.69   7.76   0.5    2.65  2.01 -2.55 -5.61 -6.8  -5.08  -0.83 -3.16 -4.59 -3.22 -2.31  3.1220703125
 -2.73   0.84   3.55   5.32  10.72   1.05  -9.4    7.37  -1.   -13.43   3.99   6.91  -1.78   5.93  1.99 -2.73 -6.4  -7.47 -5.31  -0.96 -4.21 -5.92 -3.8  -1.68  3.11472988129
 -5.61   1.53   5.88   6.34  11.48   1.77 -10.48   4.88  -2.84 -14.36   5.7    6.75  -5.22   8.06  2.03 -2.91 -7.62 -8.42 -5.5   -0.96 -5.44 -7.65 -4.93 -1.69  3.1203289032
 -6.82   1.84   7.37   8.01  12.06   3.17 -11.01   2.17  -5.67 -12.83   7.08   4.23  -6.71   8.31  2.1  -3.09 -8.51 -9.19 -5.81  -0.91 -6.69 -9.07 -5.88 -1.66  3.11930346489
 -9.39   3.     8.32  11.23  13.56   4.71 -13.14  -0.38  -7.47 -10.16   7.77   1.72  -8.23  10.09   2.1   -3.11  -9.61 -10.15  -6.15  -1.23 -7.57 -9.8  -6.21 -0.74  3.12698578835
-11.25   4.94  11.68  13.94  14.32   7.01 -13.74  -3.51  -9.65  -8.32   9.88   1.04 -10.78  12.8    2.13  -3.64 -10.62 -10.98  -6.52  -1.12 -8.37 -9.98 -6.36 -0.04  3.10986328125
-11.65   6.14  13.38  14.25  13.22   9.31 -13.17  -4.82 -12.84  -5.87  13.21   0.62 -13.33  14.23   2.05  -3.93 -10.78 -11.1   -6.73   -1.19  -9.07 -10.44  -6.5    0.67  3.12527656555
-12.54   8.37  13.39  14.35  10.57   9.59 -13.1   -7.58 -14.07  -2.43  13.49  -2.49 -14.01  12.75   2.16  -4.06 -11.08 -11.15  -6.44   -1.21  -9.38 -10.28  -6.53   0.4   3.11565756798
-11.54   8.87  14.86  12.83  12.78  11.75 -12.3  -10.09 -13.17  -2.38  12.7   -5.67 -13.29  10.24   2.01  -4.29 -10.95 -11.09  -6.98   -1.35  -9.54 -10.61  -6.73   0.18  3.12034511566
-10.97  10.06  12.56   9.41  13.47  13.99 -10.57 -13.1  -13.03  -1.02  10.68  -8.64 -10.84   9.44   2.03  -4.09 -10.34 -10.79  -7.61   -1.41  -9.77 -11.11  -7.14  -0.08  3.12623691559
 -9.77  12.2   10.68   7.94  14.69  13.92  -8.36 -14.02 -12.83  -0.08   7.3   -9.85  -8.45   9.29   2.11  -4.14  -9.93 -10.51  -7.87   -1.3   -9.71 -11.45  -7.6   -0.43  3.1373860836
 -8.6   12.58   9.13   5.22  14.21  12.76  -4.88 -13.19 -12.51   1.95   4.04 -12.11  -6.54   6.6   2.07 -3.97 -9.17 -9.9  -7.96   -1.32  -9.42 -11.58  -7.88  -1.34  3.12989902496
 -6.47  14.64   8.96   4.2   13.34  11.13  -4.64 -10.27 -12.45   4.12   2.94 -12.67  -6.13   4.33  2.11 -4.29 -9.07 -9.75 -7.59   -1.21  -8.76 -11.1   -7.48  -1.87  3.11186528206
 -3.71  14.32   7.3    1.44  11.09   9.95  -3.75  -8.11 -11.15   4.64   2.61 -14.61  -5.31   3.23  2.02 -4.19 -7.85 -8.59 -7.13   -1.26  -8.1  -10.73  -7.16  -2.23  3.12125658989
 -1.18  14.06   3.86   1.23  10.37   7.61  -0.4   -5.19  -7.83   6.67  -0.17 -13.86  -3.31   1.15  1.96 -3.91 -6.6  -7.64 -7.18  -1.25 -6.23 -8.79 -5.67 -2.52  3.13364267349
  5.3 -13.1   5.6 -14.8 -11.5   6.4   9.2   3.7  -0.5 -11.3 -14.3   5.6 -10.4  -0.5  1.96 -1.79  1.38  1.71 -4.74  -1.06 -4.74 -9.72 -8.31 -7.48  3.14640307426
  4.46  -9.76   6.44 -12.73 -13.44   3.14   6.2    6.17  -1.35  -9.11 -13.57   6.89 -10.02   1.75  1.94 -2.19  0.28  0.87 -3.37  -1.   -4.16 -8.95 -7.72 -7.05  3.10716152191
  2.4   -6.58   8.49 -12.54 -14.19   0.66   4.     6.3   -1.72  -7.99 -12.48   9.67  -7.08   4.04  1.94 -2.64 -0.93 -0.16 -2.27  -1.04 -4.09 -8.72 -7.33 -6.2   3.10512685776
  1.64  -5.16   8.57 -11.43 -10.95  -1.79   1.47   9.09  -4.13  -5.95 -11.33  12.23  -3.85   7.17  1.97 -2.74 -1.75 -1.11 -1.85  -1.02 -4.15 -8.64 -7.02 -5.12  3.11490869522
  0.2   -3.68  10.05 -10.93  -9.74  -4.94  -0.32  11.58  -6.23  -2.46  -9.78  12.54  -0.94   7.81  1.98 -3.08 -2.49 -1.84 -0.91  -0.81 -3.64 -7.62 -6.1  -4.24  3.12581372261
 -1.36  -2.88  11.51 -10.61  -9.6   -5.51  -2.49  12.5   -9.03   0.12  -8.76  13.97   2.11  10.59  1.97 -3.23 -3.45 -2.72 -0.5   -0.87 -4.22 -8.13 -6.12 -3.11  3.12288403511
 -1.89  -1.52  12.8  -10.13  -7.87  -5.52  -3.33  14.79 -10.55   0.27  -8.06  14.94   3.81  13.3   1.94 -3.47 -4.24 -3.59 -0.68  -0.89 -4.37 -8.28 -6.07 -2.26  3.12620449066
 -4.6   -2.58  10.8  -11.98  -5.73  -3.82  -4.12  14.45  -9.03   3.45  -5.85  13.49   4.88  10.6   2.07 -3.01 -3.6  -3.41 -1.41  -0.8  -3.13 -5.76 -4.1  -1.54  3.1298828125
 -5.    -4.21   9.77 -14.84  -4.27  -2.47  -5.9   12.02  -7.59   3.6  -5.02  13.47   5.14   7.51  2.01 -2.69 -2.03 -1.97 -1.4   -0.88 -3.03 -5.22 -3.62 -1.64  3.12667655945
